title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
2016 Donruss Press Proofs Blue #131,<p>This is a nice example of a 2016 Donruss #131 Pat McAfee Press Proofs Blue <br><br><br>Other important information about this card:<br><br><br>In 2016 Pat McAfee played for the Indianapolis Colts.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,10.00,FOOTBALL,Yes,2016,Donruss,2016 Donruss,Press Proofs Blue,Pat McAfee,131,,Indianapolis Colts,,Near Mint or Better,No,,,,,,0,,,,,,,7732,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591107-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591107-back.jpg
2023 Panini Select Silver Prizms #274,<p>This is a nice example of a 2023 Panini Select #274 De'Von Achane Silver Prizms <br><br><br>Other important information about this card:<br><br><br>In 2023 De'Von Achane played for the Miami Dolphins.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.31,FOOTBALL,Yes,2023,Select,2023 Panini Select,Silver Prizms,De'Von Achane,274,,Miami Dolphins,,Near Mint or Better,No,,,,,,0,,,,,,,7733,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591108-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591108-back.jpg
2025 Donruss Optic Holo Rookie #201,<p>This is a nice example of a 2025 Donruss Optic #201 Travis Hunter Holo <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2025 Travis Hunter played for the Jacksonville Jaguars.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Donruss,2025 Donruss Optic,Holo,Travis Hunter,201,RC,Jacksonville Jaguars,,Near Mint or Better,No,,,,,,0,,,,,,,7734,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591109-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591109-back.jpg
2025 Donruss Optic Pink Rookie #223,<p>This is a nice example of a 2025 Donruss Optic #223 Tyler Shough Pink <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2025 Tyler Shough played for the New Orleans Saints.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Optic,2025 Donruss Optic,Pink,Tyler Shough,223,RC,New Orleans Saints,,Near Mint or Better,No,,,,,,0,,,,,,,7735,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591110-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591110-back.jpg
2024 Donruss Optic #67,<p>This is a nice example of a 2024 Donruss Optic #67 Jameson Williams <br><br><br>Other important information about this card:<br><br><br>In 2024 Jameson Williams played for the Detroit Lions.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,0.99,FOOTBALL,Yes,2024,Donruss,2024 Donruss Optic,,Jameson Williams,67,,Detroit Lions,,Near Mint or Better,No,,,,,,0,,,,,,,7736,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591112-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591112-back.jpg
2022 Panini Prizm Green #66,<p>This is a nice example of a 2022 Panini Prizm #66 Deshaun Watson Green <br><br><br>Other important information about this card:<br><br><br>In 2022 Deshaun Watson played for the Cleveland Browns.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.65,FOOTBALL,Yes,2022,Prizm,2022 Panini Prizm,Green,Deshaun Watson,66,,Cleveland Browns,,Near Mint or Better,No,,,,,,0,,,,,,,7737,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591113-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591113-back.jpg
2025 Donruss Optic Blue Hyper Rookie #234,<p>This is a nice example of a 2025 Donruss Optic #234 Tyler Warren Blue Hyper <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2025 Tyler Warren played for the Indianapolis Colts.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Donruss,2025 Donruss Optic,Blue Hyper,Tyler Warren,234,RC,Indianapolis Colts,,Near Mint or Better,No,,,,,,0,,,,,,,7738,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591115-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591115-back.jpg
2023 Bowman University Chrome Green Lava Refractor #49,<p>This is a nice example of a 2023 Bowman University Chrome #49 Caleb Downs Green Lava Refractor <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2023 Caleb Downs played for the Alabama Crimson Tide.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,14.99,FOOTBALL,Yes,2023,Bowman,2023 Bowman University Chrome,Green Lava Refractor,Caleb Downs,49,SN,Alabama Crimson Tide,,Near Mint or Better,No,,,,,,0,,,,,,,7739,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591116-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591116-back.jpg
2024 Clearly Donruss Clearly Rated Rookie Autographs Purple Rookie #87,"<p>This is a nice example of a 2024 Clearly Donruss #87 Will Shipley Clearly Rated Rookie Autographs Purple <br><br><br>Other important information about this card:<br><br>SN,RC,AU<br><br><br>In 2024 Will Shipley played for the Philadelphia Eagles.<br><br><br>Please check out our other listings for more great cards.</p>",0.00,5.00,FOOTBALL,Yes,2024,Donruss,2024 Clearly Donruss,Clearly Rated Rookie Autographs Purple,Will Shipley,87,"SN,RC,AU",Philadelphia Eagles,,Near Mint or Better,No,,,,,,0,,,,,,,7740,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591117-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591117-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7741,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591119-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591119-back.jpg
2025 Score Anniversary Rookies #9,<p>This is a nice example of a 2025 Score #9 Jaxson Dart Anniversary Rookies <br><br><br>Other important information about this card:<br><br><br>In 2025 Jaxson Dart played for the New York Giants.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Score,2025 Score,Anniversary Rookies,Jaxson Dart,9,,New York Giants,,Near Mint or Better,No,,,,,,0,,,,,,,7742,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591121-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591121-back.jpg
2025 Score Rookie #20,<p>This is a nice example of a 2025 Score #20 Travis Hunter <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2025 Travis Hunter played for the Jacksonville Jaguars.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Score,2025 Score,,Travis Hunter,20,RC,Jacksonville Jaguars,,Near Mint or Better,No,,,,,,0,,,,,,,7743,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591122-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591122-back.jpg
2025 Score Emerged #8,<p>This is a nice example of a 2025 Score #8 Tetairoa McMillan Emerged <br><br><br>Other important information about this card:<br><br><br>In 2025 Tetairoa McMillan played for the Carolina Panthers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Score,2025 Score,Emerged,Tetairoa McMillan,8,,Carolina Panthers,,Near Mint or Better,No,,,,,,0,,,,,,,7744,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591123-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591123-back.jpg
2020 Donruss Elite Rookie #102,"<p>This is a nice example of a 2020 Donruss Elite #102 Joe Burrow <br><br><br>Other important information about this card:<br><br>SN,RC<br><br><br>In 2020 Joe Burrow played for the Cincinnati Bengals.<br><br><br>Please check out our other listings for more great cards.</p>",0.00,22.00,FOOTBALL,Yes,2020,Donruss,2020 Donruss Elite,,Joe Burrow,102,"SN,RC",Cincinnati Bengals,,Near Mint or Better,No,,,,,,0,,,,,,,7745,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591124-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591124-back.jpg
2025 Panini Absolute Hog Heaven #HH-JDT,<p>This is a nice example of a 2025 Panini Absolute #HH-JDT Jaxson Dart Hog Heaven <br><br><br>Other important information about this card:<br><br><br>In 2025 Jaxson Dart played for the New York Giants.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Panini,2025 Panini Absolute,Hog Heaven,Jaxson Dart,HH-JDT,,New York Giants,,Near Mint or Better,No,,,,,,0,,,,,,,7746,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591125-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591125-back.jpg
2020 Panini Select Light Blue Prizm Die Cut Rookie #53,<p>This is a nice example of a 2020 Panini Select #53 Jonathan Taylor Light Blue Prizm Die Cut <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2020 Jonathan Taylor played for the Indianapolis Colts.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,5.99,FOOTBALL,Yes,2020,Prizm,2020 Panini Select,Light Blue Prizm Die Cut,Jonathan Taylor,53,RC,Indianapolis Colts,,Near Mint or Better,No,,,,,,0,,,,,,,7747,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591127-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591127-back.jpg
2025 Panini Mosaic Montage #1,<p>This is a nice example of a 2025 Panini Mosaic #1 Drake Maye Montage <br><br><br>Other important information about this card:<br><br><br>In 2025 Drake Maye played for the New England Patriots.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2025,Panini,2025 Panini Mosaic,Montage,Drake Maye,1,,New England Patriots,,Near Mint or Better,No,,,,,,0,,,,,,,7748,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591128-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591128-back.jpg
1990-91 SkyBox #211,<p>This is a nice example of a 1990-91 SkyBox #211 Charles Barkley <br><br><br>Other important information about this card:<br><br><br>In 1990 Charles Barkley played for the Philadelphia 76ers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,0.44,BASKETBALL,Yes,1990,,1990-91 SkyBox,,Charles Barkley,211,,Philadelphia 76ers,,Near Mint or Better,No,,,,,,0,,,,,,,7749,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591129-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591129-back.jpg
2025-26 Topps Holiday Hidden Elf #HE-LBJ,<p>This is a nice example of a 2025-26 Topps Holiday #HE-LBJ LeBron James Hidden Elf <br><br><br>Other important information about this card:<br><br><br>In 2025 LeBron James played for the Los Angeles Lakers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASKETBALL,Yes,2025,Topps,2025-26 Topps Holiday,Hidden Elf,LeBron James,HE-LBJ,,Los Angeles Lakers,,Near Mint or Better,No,,,,,,0,,,,,,,7750,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591131-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591131-back.jpg
1981-82 Topps #30,<p>This is a nice example of a 1981-82 Topps #30 Julius Erving <br><br><br>Other important information about this card:<br><br><br>In 1981 Julius Erving played for the Philadelphia 76ers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,5.00,BASKETBALL,Yes,1981,Topps,1981-82 Topps,,Julius Erving,30,,Philadelphia 76ers,,Near Mint or Better,No,,,,,,0,,,,,,,7751,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591132-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591132-back.jpg
2025-26 Topps Companion Cards SPs #CCV-5,<p>This is a nice example of a 2025-26 Topps #CCV-5 Cooper Flagg Companion Cards SPs <br><br><br>Other important information about this card:<br><br><br>In 2025 Cooper Flagg played for the Dallas Mavericks.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASKETBALL,Yes,2025,Topps,2025-26 Topps,Companion Cards SPs,Cooper Flagg,CCV-5,,Dallas Mavericks,,Near Mint or Better,No,,,,,,0,,,,,,,7752,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591133-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591133-back.jpg
2022-23 Panini Prizm Monopoly Silver #25,<p>This is a nice example of a 2022-23 Panini Prizm Monopoly #25 Cade Cunningham Silver <br><br><br>Other important information about this card:<br><br><br>In 2022 Cade Cunningham played for the Detroit Pistons.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.00,BASKETBALL,Yes,2022,Panini,2022-23 Panini Prizm Monopoly,Silver,Cade Cunningham,25,,Detroit Pistons,,Near Mint or Better,No,,,,,,0,,,,,,,7753,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591134-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591134-back.jpg
2025 Topps x Bob Ross: The Joy of Baseball #64,<p>This is a nice example of a 2025 Topps x Bob Ross: The Joy of Baseball #64 Don Mattingly <br><br><br>Other important information about this card:<br><br><br>In 2025 Don Mattingly played for the New York Yankees.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASEBALL,Yes,2025,Topps,2025 Topps x Bob Ross: The Joy of Baseball,,Don Mattingly,64,,New York Yankees,,Near Mint or Better,No,,,,,,0,,,,,,,7754,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591135-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591135-back.jpg
2025 Topps x Bob Ross: The Joy of Baseball #70,<p>This is a nice example of a 2025 Topps x Bob Ross: The Joy of Baseball #70 Derek Jeter <br><br><br>Other important information about this card:<br><br><br>In 2025 Derek Jeter played for the New York Yankees.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASEBALL,Yes,2025,Topps,2025 Topps x Bob Ross: The Joy of Baseball,,Derek Jeter,70,,New York Yankees,,Near Mint or Better,No,,,,,,0,,,,,,,7755,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591137-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591137-back.jpg
1990 Topps #336,"<p>This is a nice example of a 1990 Topps #336 Ken Griffey, Jr. <br><br><br>Other important information about this card:<br><br><br>In 1990 Ken Griffey, Jr. played for the Seattle Mariners.<br><br><br>Please check out our other listings for more great cards.</p>",0.00,3.00,BASEBALL,Yes,1990,Topps,1990 Topps,,"Ken Griffey, Jr.",336,,Seattle Mariners,,Near Mint or Better,No,,,,,,0,,,,,,,7756,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591138-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591138-back.jpg
2022 Donruss Optic UFC Opti-Graphs Red #OG-DCZ,"<p>This is a nice example of a 2022 Donruss Optic UFC #OG-DCZ Dominick Cruz Opti-Graphs Red <br><br><br>Other important information about this card:<br><br>SN,AU<br><br><br>In 2022 Dominick Cruz played for the .<br><br><br>Please check out our other listings for more great cards.</p>",0.00,,MMA,Yes,2022,Donruss,2022 Donruss Optic UFC,Opti-Graphs Red,Dominick Cruz,OG-DCZ,"SN,AU",,,Near Mint or Better,No,,,,,,0,,,,,,,7757,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591139-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591139-back.jpg
2022 Donruss Optic UFC Black Velocity #95,<p>This is a nice example of a 2022 Donruss Optic UFC #95 Dominick Cruz Black Velocity <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2022 Dominick Cruz played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,0.95,MMA,Yes,2022,Donruss,2022 Donruss Optic UFC,Black Velocity,Dominick Cruz,95,SN,,,Near Mint or Better,No,,,,,,0,,,,,,,7758,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591140-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591140-back.jpg
2024 Bowman University Chrome Teal Lava Refractor #100,<p>This is a nice example of a 2024 Bowman University Chrome #100 Jeremiyah Love Teal Lava Refractor <br><br><br>Other important information about this card:<br><br><br>In 2024 Jeremiyah Love played for the Notre Dame Fighting Irish.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,49.99,FOOTBALL,Yes,2024,Bowman,2024 Bowman University Chrome,Teal Lava Refractor,Jeremiyah Love,100,,Notre Dame Fighting Irish,,Near Mint or Better,No,,,,,,0,,,,,,,7759,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591142-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591142-back.jpg
2024 Bowman University Chrome Prospect Autographs Red Refractor #PA-NSI,"<p>This is a nice example of a 2024 Bowman University Chrome #PA-NSI Nick Singleton Prospect Autographs Red Refractor <br><br><br>Other important information about this card:<br><br>SN,AU<br><br><br>In 2024 Nick Singleton played for the Penn State Nittany Lions.<br><br><br>Please check out our other listings for more great cards.</p>",0.00,52.00,FOOTBALL,Yes,2024,Bowman,2024 Bowman University Chrome,Prospect Autographs Red Refractor,Nick Singleton,PA-NSI,"SN,AU",Penn State Nittany Lions,,Near Mint or Better,No,,,,,,0,,,,,,,7760,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591143-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591143-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7761,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591144-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591144-back.jpg
2024 Panini Prizm Monopoly WNBA All-Star #WNBA21,<p>This is a nice example of a 2024 Panini Prizm Monopoly WNBA #WNBA21 Sheryl Swoopes All-Star <br><br><br>Other important information about this card:<br><br><br>In 2024 Sheryl Swoopes played for the Houston Comets.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.14,BASKETBALL,Yes,2024,Panini,2024 Panini Prizm Monopoly WNBA,All-Star,Sheryl Swoopes,WNBA21,,Houston Comets,,Near Mint or Better,No,,,,,,0,,,,,,,7762,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591145-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591145-back.jpg
2024-25 Panini Mosaic Stare Masters Purple Mosaic #7,<p>This is a nice example of a 2024-25 Panini Mosaic #7 Luka Doncic Stare Masters Purple Mosaic <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2024 Luka Doncic played for the Los Angeles Lakers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Stare Masters Purple Mosaic,Luka Doncic,7,SN,Los Angeles Lakers,,Near Mint or Better,No,,,,,,0,,,,,,,7763,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591146-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591146-back.jpg
2021 Panini Mosaic Got Game? Mosaic #GG-1,<p>This is a nice example of a 2021 Panini Mosaic #GG-1 Rob Gronkowski Got Game? Mosaic <br><br><br>Other important information about this card:<br><br><br>In 2021 Rob Gronkowski played for the Tampa Bay Buccaneers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.48,FOOTBALL,Yes,2021,Panini,2021 Panini Mosaic,Got Game? Mosaic,Rob Gronkowski,GG-1,,Tampa Bay Buccaneers,,Near Mint or Better,No,,,,,,0,,,,,,,7764,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591147-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591147-back.jpg
2024 Panini Contenders Winning Ticket #9,<p>This is a nice example of a 2024 Panini Contenders #9 Justin Herbert Winning Ticket <br><br><br>Other important information about this card:<br><br><br>In 2024 Justin Herbert played for the Los Angeles Chargers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Panini,2024 Panini Contenders,Winning Ticket,Justin Herbert,9,,Los Angeles Chargers,,Near Mint or Better,No,,,,,,0,,,,,,,7765,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591148-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591148-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7766,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591150-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591150-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7767,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591151-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591151-back.jpg
